condition_name,exp_selected_item_name,selected_LANDLINE_ONLY,availablity_addon_LANDLINE_ONLY,selected_EVENING_WEEKEND,selected_ANYTIME_LANDLINE_MOBILE,selected_INTERNATIONAL_300,total_addon_cost_paid,exp_likelihoodToTake,demogAge,BB_current_provider,BB_current_plan,BB_current_contract_length,BB_usage_email,BB_usage_browsing,BB_usage_music_podcasts,BB_usage_TV_movies,BB_usage_video_calls,BB_usage_large_files,BB_usage_downloading_games,BB_usage_playing_games,VF_SEG_statements_1,VF_SEG_statements_2,VF_SEG_statements_3,MOB_current_mobile_provider,demogEducation,demogMaritalStatus,VF_SEG_living_arrangements,demogRegion,demogRural_urban,VF_current_landline_service,is_female,demogWorkStatus_2,demogHouseIncome_value_k,demogTotalHHSize,hh_num_under_18,has_children_under_18,is_mobile,BB_price_is_bundled,BB_current_spend_seperate_abs,BB_current_spend_bundled_abs,BB_current_time_with_provider_abs,MOB_current_mobile_plan_type_2,MOB_time_with_current_mobile_provider_abs,VF_SEGMENT,VF_current_landline_usage_bin,willing_to_wait_score
5) Call bundles only,1_Superfast_1,0,0,0,0,1,5,6,55,Other,Standard broadband (Up to 17MB/s),My contract expires in between 3-6 months,Most days,Every day,Occasionally,Never,Rarely,Occasionally,Never,Never,1  Strongly    Agree ,2  Agree ,3  Neutral ,Tesco Mobile,A-level or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South West England,Rural,Yes,1,Retired,32.5,2,0,0,1,0,20,0,0.416666667,PAYG,11,Empty nester couples (45-64yrs),1,4.4
5) Call bundles only,1_Superfast_1,0,0,0,1,0,8,5,76,Post Office,Fibre Broadband (Up to 52Mb/s),My contract expires in between 3-6 months,Every day,Every day,Never,Never,Occasionally,Rarely,Never,Never,2  Agree ,3  Neutral ,3  Neutral ,Lebara,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Wales,Town,Yes,0,Retired,17.5,2,0,0,0,1,0,32,3.333333333,PAYG,6.833333333,Retired couples (>65yrs),0,3
1) LL add-on at £0,1_Superfast_1,0,1,0,0,0,0,8,58,Sky,Standard broadband (Up to 17MB/s),My contract expires in between 3-6 months,Every day,Every day,Never,Most days,Occasionally,Rarely,Never,Never,3  Neutral ,3  Neutral ,4  Agree ,O2,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North East England,City Suburb,Yes,1,Full_time,62.5,2,0,0,1,1,0,39,11,SIMO,11,Empty nester couples (45-64yrs),1,3
0) Baseline,6_Pro_superfast_100,0,0,0,1,0,8,8,68,EE,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Most days,Never,Never,Rarely,Occasionally,Never,Never,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,EE,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,West Midlands,Town,Yes,0,Retired,32.5,3,1,1,0,1,0,35,11.33333333,PAYM,11.33333333,Sticker,1,3.8
2) LL add-on at £1,6_Pro_superfast_100,0,1,0,0,0,0,8,43,BT,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Every day,Every day,Every day,Most days,Occasionally,Most days,4  Agree ,5  Strongly  Agree ,5  Strongly  Agree ,Vodafone,A-level or equivalent,Single,I live with my / my partners children (under 18 years old).,Wales,Village,Yes,1,Full_time,45,3,2,1,1,0,31,0,1.5,PAYM,0,Older Family (min. one child >=13yrs),0,3.2
0) Baseline,6_Pro_superfast_100,0,0,0,0,0,0,8,55,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Most days,Occasionally,Never,Rarely,Never,Never,4  Agree ,4  Agree ,4  Agree ,O2,A-level or equivalent,Single,I live alone.,North West England,Town,Yes,0,Full_time,22.5,1,0,0,1,0,26,0,0.25,PAYM,3,Single empty nester (45-64yrs),0,3.2
5) Call bundles only,4_Pro_superfast_1,0,0,0,0,0,0,6,33,EE,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Most days,Never,Rarely,Never,Occasionally,2  Agree ,3  Neutral ,2  Agree ,Voxi,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,East Midlands,Village,Yes,1,Full_time,45,3,1,1,0,1,0,34,3.166666667,SIMO,0.5,Younger Family (children <=12yrs),1,3.2
0) Baseline,1_Superfast_1,0,0,0,0,0,0,5,58,Sky,Standard broadband (Up to 17MB/s),My contract expires in over a years^ time,Every day,Never,Occasionally,Occasionally,Every day,Most days,Rarely,Never,1  Strongly    Agree ,4  Agree ,3  Neutral ,EE,Masters or other higher degree,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South West England,Rural,Yes,0,Full_time,225,2,0,0,1,1,0,59,2,PAYM,1,Switcher,1,1
3) LL add-on at £3,7_Pro_ultrafast_200,0,1,0,1,0,8,4,59,EE,Fibre Broadband (Up to 52Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Most days,Occasionally,Most days,Most days,Never,Never,2  Agree ,4  Agree ,2  Agree ,EE,Masters or other higher degree,Single,I live alone.,West Midlands,Town,Yes,0,Full_time,22.5,1,0,0,1,1,0,30,2.583333333,SIMO,2.583333333,Switcher,1,4.4
4) LL add-on at £5,3_Superfast_100,0,1,0,0,0,0,10,41,Vodafone,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Every day,Every day,Occasionally,Occasionally,Never,Never,4  Agree ,5  Strongly  Agree ,4  Agree ,EE,Bachelor or first degree equivalent,Single,I live with housemates or other unrelated people.,London,City Suburb,Yes,0,Full_time,27.5,2,0,0,1,0,25,0,0.833333333,SIMO,10.5,Young Professionals,0,4.6
1) LL add-on at £0,7_Pro_ultrafast_200,0,1,0,1,1,13,10,50,BT,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,5  Strongly  Agree ,5  Strongly  Agree ,5  Strongly  Agree ,EE,Bachelor or first degree equivalent,Single,I live alone.,South East England,Town,Yes,0,Full_time,22.5,1,0,0,1,1,0,49,2,PAYM,2,Single empty nester (45-64yrs),1,4.2
3) LL add-on at £3,1_Superfast_1,0,1,0,0,0,0,2,48,BT,Fibre Broadband (Up to 52Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Never,Occasionally,Occasionally,Rarely,Never,Never,1  Strongly    Agree ,1  Strongly    Agree ,5  Strongly  Agree ,EE,Bachelor or first degree equivalent,Widowed / Divorced / Separated,I live alone.,North West England,Town,Yes,0,Full_time,45,1,0,0,0,1,0,28,11.75,SIMO,11.5,Sticker,1,4
2) LL add-on at £1,6_Pro_superfast_100,1,1,0,0,0,1,0,71,EE,Fibre Broadband (Up to 52Mb/s),My contract expires in between 3-6 months,Every day,Every day,Never,Never,Never,Occasionally,Never,Never,3  Neutral ,4  Agree ,2  Agree ,EE,A-level or equivalent,Widowed / Divorced / Separated,I live alone.,Wales,Town,Yes,0,Retired,45,1,0,0,0,0,26,0,4,SIMO,3,Retired singles (>65yrs),1,3.6
4) LL add-on at £5,6_Pro_superfast_100,0,1,1,0,0,5,7,56,TalkTalk,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Occasionally,Most days,Occasionally,Occasionally,Never,Never,3  Neutral ,4  Agree ,3  Neutral ,O2,Other,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Scotland,City Suburb,Yes,1,Retired,45,2,0,0,1,0,23,0,4,SIMO,3.083333333,Empty nester couples (45-64yrs),1,2.2
5) Call bundles only,6_Pro_superfast_100,0,0,0,1,0,8,6,73,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Rarely,Never,Most days,Rarely,Never,Never,1  Strongly    Agree ,5  Strongly  Agree ,3  Neutral ,Virgin Mobile,Masters or other higher degree,Widowed / Divorced / Separated,I live alone.,Yorkshire and the Humber,City Suburb,Yes,1,Retired,12.5,1,0,0,0,1,0,92,11,SIMO,1,Switcher,1,3.8
4) LL add-on at £5,1_Superfast_1,0,1,0,0,0,0,8,44,TalkTalk,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Most days,Most days,Rarely,Rarely,Never,Rarely,3  Neutral ,3  Neutral ,2  Agree ,3,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,London,City Suburb,Yes,0,Full_time,45,3,1,1,0,1,0,30,4,SIMO,3,Younger Family (children <=12yrs),1,4.4
2) LL add-on at £1,7_Pro_ultrafast_200,0,1,1,0,0,5,7,63,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Never,Most days,Never,Never,Never,Never,2  Agree ,3  Neutral ,4  Agree ,Vodafone,Masters or other higher degree,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South West England,Town,Yes,0,Full_time,62.5,2,0,0,0,1,0,95,11,PAYM,11,Sticker,1,4.2
0) Baseline,3_Superfast_100,0,0,0,0,0,0,2,51,BT,Standard broadband (Up to 17MB/s),I^m not in a contract / My contract has already expired,Occasionally,Every day,Most days,Occasionally,Occasionally,Occasionally,Rarely,Rarely,3  Neutral ,3  Neutral ,3  Neutral ,giffgaff,Bachelor or first degree equivalent,Single,I live alone.,Scotland,City Suburb,Yes,0,Full_time,45,1,0,0,1,1,0,78.21,6,SIMO,0.583333333,Single empty nester (45-64yrs),0,4.4
0) Baseline,9_Pro_gigafast_900,0,0,0,1,0,8,7,56,Vodafone,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Rarely,Most days,Rarely,Rarely,Rarely,Every day,3  Neutral ,4  Agree ,1  Strongly    Agree ,Vodafone,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North East England,Village,Yes,0,Full_time,125,2,0,0,1,1,0,25,5.166666667,PAYM,11,Empty nester couples (45-64yrs),1,3.2
3) LL add-on at £3,9_Pro_gigafast_900,1,1,0,0,0,3,1,66,Sky,Ultrafast Fibre Broadband (Over 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Never,Occasionally,Occasionally,Occasionally,Never,Never,1  Strongly    Agree ,1  Strongly    Agree ,3  Neutral ,EE,A-level or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,London,City Suburb,Yes,1,Retired,62.5,2,0,0,0,1,0,75,3,SIMO,4.083333333,Retired couples (>65yrs),1,3.6
5) Call bundles only,2_Superfast_2,0,0,1,0,0,5,7,68,Sky,Standard broadband (Up to 17MB/s),I^m not in a contract / My contract has already expired,Every day,Most days,Never,Never,Never,Never,Never,Never,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,EE,Vocational certificate,Single,I live alone.,East Midlands,Town,Yes,0,Retired,27.5,1,0,0,0,1,0,50,7,PAYG,11,Sticker,1,3.6
4) LL add-on at £5,6_Pro_superfast_100,1,1,0,0,0,5,5,44,Virgin Media,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Most days,Occasionally,Occasionally,Occasionally,Never,Never,3  Neutral ,3  Neutral ,3  Neutral ,Tesco Mobile,Masters or other higher degree,Widowed / Divorced / Separated,I live alone.,South West England,City Suburb,Yes,1,Unemployed_homemaker_student_other,1.25,1,0,0,1,1,0,30,6.083333333,PAYM,5.083333333,Young singles (18-44yrs),1,2
1) LL add-on at £0,7_Pro_ultrafast_200,1,1,0,0,0,0,6,58,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Most days,Occasionally,Rarely,Rarely,Rarely,Never,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,Virgin Mobile,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,South East England,Town,Yes,0,Retired,12.5,4,1,1,1,1,0,79,11,SIMO,5,Sticker,1,3.8
3) LL add-on at £3,2_Superfast_2,1,1,0,0,0,3,6,42,Vodafone,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Occasionally,3  Neutral ,4  Agree ,3  Neutral ,3,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,Scotland,Town,Yes,0,Full_time,45,5,3,1,0,1,0,22,3,SIMO,4,Older Family (min. one child >=13yrs),0,4.4
1) LL add-on at £0,7_Pro_ultrafast_200,1,1,0,0,0,0,5,68,BT,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 3-6 months,Every day,Every day,Occasionally,Occasionally,Occasionally,Occasionally,Most days,Most days,1  Strongly    Agree ,4  Agree ,4  Agree ,EE,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Town,Yes,0,Retired,22.5,2,0,0,1,0,45,0,3.333333333,PAYM,4.166666667,Switcher,0,3.2
2) LL add-on at £1,8_Pro_ultrafast_500,0,1,0,1,0,8,6,62,Sky,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Rarely,Most days,Occasionally,Never,Never,3  Neutral ,4  Agree ,5  Strongly  Agree ,Virgin Mobile,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Village,Yes,1,Retired,27.5,2,0,0,0,1,0,48,10,SIMO,5,Empty nester couples (45-64yrs),1,2.4
1) LL add-on at £0,3_Superfast_100,0,1,0,1,0,8,7,44,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in between 3-6 months,Every day,Every day,Rarely,Rarely,Most days,Occasionally,Never,Never,1  Strongly    Agree ,2  Agree ,3  Neutral ,Vodafone,Other,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Yorkshire and the Humber,Town,Yes,0,Full_time,27.5,2,0,0,0,1,0,80,9.666666667,SIMO,2.75,Young couples (18-44yrs),1,4.2
0) Baseline,3_Superfast_100,0,0,1,0,0,5,7,70,BT,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Most days,Every day,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Every day,1  Strongly    Agree ,2  Agree ,4  Agree ,EE,Bachelor or first degree equivalent,Widowed / Divorced / Separated,I live alone.,Wales,Rural,Yes,1,Retired,22.5,1,0,0,0,1,0,28.15,11,SIMO,11,Sticker,0,3.8
0) Baseline,7_Pro_ultrafast_200,0,0,0,1,0,8,5,59,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 3-6 months,Every day,Every day,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,1  Strongly    Agree ,3  Neutral ,3  Neutral ,BT Mobile,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,London,City Centre,Yes,0,Full_time,225,2,0,0,0,1,0,97,7.166666667,SIMO,2.583333333,Empty nester couples (45-64yrs),1,4.6
3) LL add-on at £3,4_Pro_superfast_1,0,1,0,0,0,0,2,70,BT,Fibre Broadband (Up to 52Mb/s),My contract expires in less than 3 months,Every day,Every day,Every day,Most days,Occasionally,Occasionally,Never,Never,1  Strongly    Agree ,4  Agree ,4  Agree ,EE,Masters or other higher degree,Widowed / Divorced / Separated,I live alone.,London,City Suburb,Yes,0,Retired,37.5,1,1,1,0,1,0,35,11,PAYM,1.166666667,Switcher,1,3.8
4) LL add-on at £5,4_Pro_superfast_1,0,1,0,0,0,0,5,56,Sky,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Most days,Most days,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,1  Strongly    Agree ,3  Neutral ,3  Neutral ,Tesco Mobile,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South West England,City Suburb,Yes,1,Unemployed_seeking,32.5,2,0,0,0,1,0,70,1.166666667,PAYM,4.416666667,Empty nester couples (45-64yrs),0,3.4
3) LL add-on at £3,6_Pro_superfast_100,0,1,0,0,0,0,6,59,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Every day,Occasionally,Most days,Occasionally,Never,Never,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,Virgin Mobile,Masters or other higher degree,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,North West England,City Suburb,Yes,1,Unemployed_homemaker_student_other,45,4,1,1,0,1,0,63,11,SIMO,11,Sticker,0,3.4
1) LL add-on at £0,1_Superfast_1,1,1,0,0,0,0,10,19,Vodafone,Standard broadband (Up to 17MB/s),My contract expires in over a years^ time,Every day,Every day,Most days,Every day,Most days,Occasionally,Occasionally,Occasionally,1  Strongly    Agree ,3  Neutral ,3  Neutral ,Vodafone,A-level or equivalent,Single,I live with housemates or other unrelated people.,Scotland,City Centre,Yes,1,Unemployed_homemaker_student_other,1.25,2,0,0,1,0,22,0,0,PAYM,3,Other Collective,0,3.8
5) Call bundles only,4_Pro_superfast_1,0,0,0,1,0,8,5,68,BT,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Occasionally,Most days,Never,Occasionally,Occasionally,Rarely,Never,Never,1  Strongly    Agree ,3  Neutral ,4  Agree ,Tesco Mobile,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,West Midlands,City Suburb,Yes,1,Full_time,62.5,2,0,0,0,0,30,0,10.41666667,SIMO,3.416666667,Sticker,1,3.2
3) LL add-on at £3,1_Superfast_1,0,1,0,0,0,0,7,50,Shell Energy Broadband,Standard broadband (Up to 17MB/s),My contract expires in between 3-6 months,Every day,Every day,Most days,Most days,Rarely,Never,Never,Never,1  Strongly    Agree ,4  Agree ,2  Agree ,O2,GCSE or equivalent,Single,I live alone.,East Midlands,Town,Yes,0,Unemployed_homemaker_student_other,12.5,1,0,0,0,0,17,0,2.583333333,PAYM,1.666666667,Switcher,0,2.8
1) LL add-on at £0,7_Pro_ultrafast_200,0,1,0,1,0,8,4,56,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 6 months and a year,Every day,Most days,Occasionally,Rarely,Never,Rarely,Rarely,Rarely,1  Strongly    Agree ,1  Strongly    Agree ,5  Strongly  Agree ,3,GCSE or equivalent,Single,I live alone.,East Midlands,City Centre,Yes,0,Unemployed_homemaker_student_other,7.5,1,0,0,0,1,0,90,4.666666667,PAYG,11,Sticker,1,3.2
2) LL add-on at £1,5_Pro_superfast_2,1,1,0,0,0,1,0,67,Sky,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in less than 3 months,Every day,Every day,Rarely,Occasionally,Never,Never,Never,Never,3  Neutral ,3  Neutral ,3  Neutral ,Tesco Mobile,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Town,Don't Know,0,Retired,27.5,2,0,0,1,1,0,30,3.5,PAYM,3.5,Retired couples (>65yrs),0,2.6
1) LL add-on at £0,2_Superfast_2,0,1,1,0,0,5,10,43,EE,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Occasionally,Rarely,Rarely,Rarely,Never,4  Agree ,4  Agree ,4  Agree ,Vodafone,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,North West England,City Suburb,No,1,Full_time,32.5,3,1,1,0,1,0,30,7.166666667,PAYG,6.166666667,Younger Family (children <=12yrs),0,3
2) LL add-on at £1,3_Superfast_100,1,1,0,0,0,1,10,65,TalkTalk,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Most days,Every day,Rarely,Rarely,Never,Every day,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,Vodafone,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with other members of my family.,South West England,Rural,Yes,0,Full_time,22.5,3,0,0,0,0,35,0,11,PAYG,11,Sticker,1,3.8
5) Call bundles only,3_Superfast_100,0,0,0,0,0,0,7,34,Virgin Media,Fibre Broadband (Up to 52Mb/s),My contract expires in between 3-6 months,Every day,Every day,Never,Occasionally,Occasionally,Occasionally,Never,Never,3  Neutral ,2  Agree ,3  Neutral ,3,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Town,Don't Know,1,Unemployed_homemaker_student_other,27.5,2,0,0,0,0,25,0,1.166666667,PAYM,1.166666667,Young couples (18-44yrs),0,3.2
4) LL add-on at £5,1_Superfast_1,0,1,0,0,0,0,7,50,Post Office,Standard broadband (Up to 17MB/s),My contract expires in over a years^ time,Every day,Every day,Every day,Rarely,Rarely,Rarely,Never,Never,3  Neutral ,3  Neutral ,4  Agree ,giffgaff,Bachelor or first degree equivalent,Single,I live alone.,Yorkshire and the Humber,Town,Yes,1,Unemployed_seeking,1.25,1,0,0,0,1,0,25,5.416666667,PAYG,0.083333333,Single empty nester (45-64yrs),1,3.8
1) LL add-on at £0,3_Superfast_100,0,1,0,0,0,0,8,50,Shell Energy Broadband,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Occasionally,Occasionally,Rarely,Never,Never,1  Strongly    Agree ,4  Agree ,4  Agree ,Lebara,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Wales,Town,Yes,0,Unemployed_homemaker_student_other,22.5,2,0,0,0,0,29,0,3.333333333,PAYG,5.166666667,Switcher,0,2.6
3) LL add-on at £3,9_Pro_gigafast_900,0,1,0,0,1,5,6,52,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Every day,Every day,Occasionally,Every day,Most days,Most days,3  Neutral ,2  Agree ,2  Agree ,EE,Vocational certificate,Married / Civil Partnership / Living as Married,I live with other members of my family.,South East England,Village,Yes,0,Full_time,27.5,4,0,0,0,1,0,45,11,PAYM,11,Three generations in one home,1,2.6
2) LL add-on at £1,6_Pro_superfast_100,1,1,0,0,0,1,0,67,Sky,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Occasionally,Every day,Rarely,Rarely,Never,Never,3  Neutral ,2  Agree ,3  Neutral ,Sky Mobile,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,London,City Suburb,Yes,0,Retired,32.5,2,0,0,0,1,0,98,11,PAYM,3,Retired couples (>65yrs),1,2.6
2) LL add-on at £1,6_Pro_superfast_100,0,1,0,0,0,0,7,68,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in between 3-6 months,Every day,Every day,Occasionally,Most days,Most days,Every day,Rarely,Rarely,1  Strongly    Agree ,2  Agree ,3  Neutral ,O2,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Scotland,City Suburb,Yes,0,Full_time,45,2,0,0,1,1,0,105,11,PAYM,5,Retired couples (>65yrs),1,3.4
1) LL add-on at £0,1_Superfast_1,0,1,0,0,0,0,6,55,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Most days,Every day,Rarely,Occasionally,Never,Never,4  Agree ,2  Agree ,2  Agree ,EE,Masters or other higher degree,Married / Civil Partnership / Living as Married,I live with housemates or other unrelated people.,London,City Centre,Yes,0,Full_time,87.5,4,0,0,0,1,0,60,6.416666667,PAYG,11.91666667,Young Professionals,0,3.4
4) LL add-on at £5,1_Superfast_1,0,1,0,0,0,0,8,69,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 3-6 months,Every day,Every day,Never,Never,Never,Never,Never,Rarely,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,EE,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Town,Yes,1,Retired,45,2,0,0,0,1,0,39,11,SIMO,11,Sticker,0,3.4
2) LL add-on at £1,1_Superfast_1,0,1,0,0,0,0,3,58,Sky,Standard broadband (Up to 17MB/s),I^m not in a contract / My contract has already expired,Every day,Every day,Occasionally,Occasionally,Occasionally,Rarely,Never,Never,1  Strongly    Agree ,3  Neutral ,2  Agree ,O2,Bachelor or first degree equivalent,Widowed / Divorced / Separated,I live alone.,London,City Suburb,Yes,1,Part_time,7.5,1,0,0,1,1,0,66,10,SIMO,11,Single empty nester (45-64yrs),0,3.6
3) LL add-on at £3,9_Pro_gigafast_900,0,1,0,0,0,0,5,31,TalkTalk,Standard broadband (Up to 17MB/s),I^m not in a contract / My contract has already expired,Every day,Every day,Every day,Every day,Every day,Rarely,Rarely,Every day,3  Neutral ,3  Neutral ,2  Agree ,3,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,North West England,Town,Yes,1,Unemployed_homemaker_student_other,22.5,3,1,1,1,0,40,0,2,PAYM,4,Younger Family (children <=12yrs),1,3
0) Baseline,8_Pro_ultrafast_500,0,0,0,0,0,0,8,58,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Most days,Occasionally,Never,Rarely,Occasionally,Every day,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,Tesco Mobile,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Wales,Village,Yes,1,Unemployed_homemaker_student_other,27.5,2,0,0,0,1,0,41,11.91666667,PAYG,5.333333333,Switcher,1,3.4
0) Baseline,3_Superfast_100,0,0,1,0,0,5,5,67,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 3-6 months,Every day,Every day,Most days,Most days,Most days,Occasionally,Rarely,Occasionally,3  Neutral ,3  Neutral ,4  Agree ,Tesco Mobile,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,London,Town,No,0,Retired,62.5,3,0,0,1,0,40,0,9.5,PAYM,3.25,Retired couples (>65yrs),0,4.2
4) LL add-on at £5,6_Pro_superfast_100,1,1,0,0,0,5,0,68,BT,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Rarely,Rarely,Occasionally,Rarely,Never,Never,3  Neutral ,3  Neutral ,3  Neutral ,EE,Masters or other higher degree,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,West Midlands,Town,Yes,1,Part_time,37.5,2,0,0,1,1,0,36,11,SIMO,6.5,Retired couples (>65yrs),1,3.8
4) LL add-on at £5,4_Pro_superfast_1,0,1,0,1,0,8,0,70,Other,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 3-6 months,Occasionally,Most days,Never,Never,Never,Occasionally,Never,Never,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,Vodafone,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Village,Yes,1,Retired,27.5,2,0,0,0,0,26,0,2.25,SIMO,11,Switcher,1,2.2
2) LL add-on at £1,6_Pro_superfast_100,0,1,0,0,0,0,3,70,BT,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 3-6 months,Most days,Every day,Most days,Every day,Most days,Rarely,Rarely,Never,2  Agree ,3  Neutral ,3  Neutral ,BT Mobile,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North East England,Town,Yes,1,Retired,37.5,2,0,0,1,1,0,60,4,SIMO,4,Retired couples (>65yrs),1,3.8
